species,RL.cat,TBL,pext,ED,EDGE
Arctium_minus,LC,0.415919,0.050673982255231405,0.41795960147507716,0.02117967742855165
Arctium_tomentosum,NT,0.342695,0.0971726892160838,0.34580561811582017,0.03360286185834435
Arctium_lappa,LC,0.342695,0.027948179896650265,0.3535102705670377,0.00987996863712108
Crupina_crupinastrum,LC,0.5934425,0.04526219783045842,0.8851017960399358,0.04006165259245363
Saussurea_alpina,EN,0.5934425,0.521369006876421,0.6187626486516071,0.3226036676197122
Koelpinia_linearis,VU,9.870824,0.30751872295137495,9.873083947067864,3.0361581669940296
Scorzonera_hispanica,LC,3.017885,0.006423098832416105,3.5990080636409667,0.02311678449142844
Geropogon_hybridus,LC,3.017885,0.0690103283835739,3.071972713520442,0.2119978457454243
Scorzonera_parviflora,VU,14.653834,0.17519656893452204,14.654079439311053,2.567344438661221
Scorzonera_humilis,LC,5.8699855,0.09221154769131651,6.419652436048357,0.5919660867683493
Scorzonera_angustifolia,LC,5.8699855,0.06333613007476512,6.6702497224577195,0.42246780405274803
Tragopogon_dubius,LC,14.38229275,0.0803905265534965,14.394371519701668,1.1571711058754708
Andryala_ragusina,LC,7.2125925,0.08678802963534643,7.586820332847693,0.6584451878852344
Andryala_integrifolia,LC,7.2125925,0.0632475561549653,7.726106352898603,0.4886573454141886
Hispidella_hispanica,LC,12.6943155,0.0755163595496801,12.694315500021002,0.958628493536663
Pilosella_castellana,LC,8.116944625,0.07761530685830562,8.116988459609574,0.6300025500579225
Pilosella_officinarum,LC,6.167302167,0.03358422294249236,6.168035816442046,0.20714868997666755
Pilosella_saussureoides,LC,3.82696725,0.05894417515667096,3.840262891592596,0.22636112852969767
Pilosella_macrantha,NE,2.2394345,0.04610017116613854,2.4459209438752114,0.11275737417149038
Pilosella_peleteriana,DD,2.2394345,0.11935910827487183,2.3191859370182213,0.27681596536611797
Pilosella_lactucella,LC,8.255196,0.03312125500550574,8.261596013529607,0.27363442831658374
Pilosella_vahlii,LC,3.657789,0.08313942016774939,3.7514117098801467,0.3118901943699407
Pilosella_breviscapa,LC,3.657789,0.01980965774582737,4.05071541568269,0.08024328601042094
Crepis_pyrenaica,LC,11.71176636,0.07142966763345213,11.711766766700322,0.8365676075459142
Hieracium_sabaudum,LC,2.087596,0.08798403644581297,2.0878366586472046,0.18369629666732
Hieracium_laevigatum,LC,1.683921,0.08963294963474157,1.6843002313466835,0.15096879780608086
Hieracium_prenanthoides,LC,0.840413,0.04293198799129,1.1679976179910903,0.050144459709448815
Hieracium_umbellatum,DD,0.840413,0.40140733166363785,0.8754493777050034,0.3514117987111577
Hieracium_murorum,LC,1.653914,0.020555954786494444,1.6560847315407723,0.034042402864155906
Hieracium_lachenalii,LC,6.260399,0.05414239940271947,8.017021560496456,0.4340607833486124
Hieracium_bifidum,EN,6.260399,0.526597018560953,6.441007239161951,3.391815208672198
Lactuca_alpina,LC,13.1247806,0.03879613743804386,13.12478076568966,0.5091907984298906
Lactuca_muralis,LC,12.2784585,0.030321457603041408,12.278459341586228,0.37230078435657454
Lactuca_saligna,LC,4.356667,0.08815014558340291,4.369588308256261,0.38517984551232465
Lactuca_serriola,LC,4.356667,0.0029786593881958798,4.739058893625448,0.01411604226471062
